name,serving_size,calories(kcal),total_fat,saturated_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars,vegan,vegetarian,gluten_free,keto
"Lentils, raw",100,352,1.1,0.2,0,0,24.63,63.35,10.7,2.03,Yes,Yes,Yes,No
"Cassava, raw",100,160,0.3,0.1,0,0,1.36,38.06,1.8,1.7,Yes,Yes,Yes,No
"Turnips, raw",100,28,0.1,0.0,0,0,0.9,6.43,1.8,3.8,Yes,Yes,Yes,Yes
"Bananas, raw",100,89,0.3,0.1,0,0,1.09,22.84,2.6,12.23,Yes,Yes,Yes,No
"Papayas, raw",100,43,0.3,0.1,0,0,0.47,10.82,1.7,7.82,Yes,Yes,Yes,No
"Chives, raw",100,30,0.7,0.1,0,0,3.27,4.35,2.5,1.85,Yes,Yes,Yes,Yes
"Borage, raw",100,21,0.7,0.2,0,0,1.8,3.06,0.0,0.0,Yes,Yes,Yes,Yes
"Mangos, raw",100,60,0.4,0.1,0,0,0.82,14.98,1.6,13.66,Yes,Yes,Yes,No
"Garlic, raw",100,149,0.5,0.1,0,0,6.36,33.06,2.1,1.0,Yes,Yes,Yes,No
"Endive, raw",100,17,0.2,0.0,0,0,1.25,3.35,3.1,0.25,Yes,Yes,Yes,Yes
"Celery, raw",100,16,0.2,0.0,0,0,0.69,2.97,1.6,1.34,Yes,Yes,Yes,Yes
"Feijoa, raw",100,61,0.4,0.1,0,0,0.71,15.21,6.4,8.2,Yes,Yes,Yes,No
"Millet, raw",100,378,4.2,0.7,0,0,11.02,72.85,8.5,0.0,Yes,Yes,Yes,No
"Jujube, raw",100,79,0.2,0.0,0,0,1.2,20.23,0.0,0.0,Yes,Yes,Yes,No
"Onions, raw",100,40,0.1,0.0,0,0,1.1,9.34,1.7,4.24,Yes,Yes,Yes,Yes
"Eppaw, raw",100,150,1.8,0.0,0,0,4.6,31.68,0.0,0.0,Yes,Yes,Yes,No
"Limes, raw",100,30,0.2,0.0,0,0,0.7,10.54,2.8,1.69,Yes,Yes,Yes,No
"Pears, raw",100,57,0.1,0.0,0,0,0.36,15.23,3.1,9.75,Yes,Yes,Yes,No
"Plums, raw",100,46,0.3,0.0,0,0,0.7,11.42,1.4,9.92,Yes,Yes,Yes,No
"Rowal, raw",100,111,2.0,0.2,0,0,2.3,23.9,6.2,14.1,Yes,Yes,Yes,No
"Beets, raw",100,43,0.2,0.0,0,0,1.61,9.56,2.8,6.76,Yes,Yes,Yes,Yes
"Dock, raw",100,22,0.7,0.0,0,0,2.0,3.2,2.9,0.0,Yes,Yes,Yes,Yes
"Kale, raw",100,49,0.9,0.1,0,0,4.28,8.75,3.6,2.26,Yes,Yes,Yes,Yes
"Okra, raw",100,33,0.2,0.0,0,0,1.93,7.45,3.2,1.48,Yes,Yes,Yes,Yes
"Taro, raw",100,112,0.2,0.0,0,0,1.5,26.46,4.1,0.4,Yes,Yes,Yes,No
"Figs, raw",100,74,0.3,0.1,0,0,0.75,19.18,2.9,16.26,Yes,Yes,Yes,No
"Goat, raw",100,109,2.3,0.7,57,0,20.6,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Yam, raw",100,118,0.2,0.0,0,0,1.53,27.88,4.1,0.5,Yes,Yes,Yes,No
"Spices, dried, oregano",100,265,4.3,1.6,0,0,9.0,68.92,42.5,4.09,Yes,Yes,Yes,No
"Winged bean leaves, raw",100,74,1.1,0.3,0,0,5.85,14.1,0.0,0.0,Yes,Yes,Yes,No
"Corn, raw, white, sweet",100,86,1.2,0.2,0,0,3.22,19.02,2.7,3.22,Yes,Yes,Yes,No
"Wheat flour, whole-grain",100,340,2.5,0.4,0,0,13.21,71.97,10.7,0.41,Yes,Yes,No,No
"Fish, raw, king, mackerel",100,105,2.0,0.4,53,0,20.28,0.0,0.0,0.0,No,No,Yes,Yes
"Mushrooms, raw, portabella",100,22,0.4,0.1,0,0,2.11,3.87,1.3,2.5,Yes,Yes,Yes,Yes
"Fish, raw, striped, mullet",100,117,3.8,1.1,49,0,19.35,0.0,0.0,0.0,No,No,Yes,Yes
"Triticale flour, whole-grain",100,338,1.8,0.3,0,0,13.18,73.14,14.6,0.0,Yes,Yes,No,No
"Smelt, dried (Alaska Native)",100,386,18.0,3.6,249,0,56.19,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Chicken, raw, giblets, capons",100,130,5.2,1.6,292,0,18.28,1.42,0.0,0.0,No,No,Yes,Yes
"Crackers, whole grain, cheese",100,412,16.0,3.2,16,0,9.62,57.29,6.4,0.0,No,Yes,Yes,No
"Egg, raw, fresh, whole, quail",100,158,11.0,3.6,844,0,13.05,0.41,0.0,0.4,No,No,Yes,Yes
"Crustaceans, raw, queen, crab",100,90,1.2,0.1,55,0,18.5,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Cranberries, sweetened, dried",100,308,1.1,0.1,0,0,0.17,82.8,5.3,72.56,Yes,Yes,Yes,No
"Fish, raw, wild, coho, salmon",100,146,5.9,1.3,45,0,21.62,0.0,0.0,0.0,No,No,Yes,Yes
"Turkey, raw, meat only, whole",100,112,1.9,0.5,67,0,22.64,0.14,0.0,0.07,No,No,Yes,Yes
"Spices, dried, coriander leaf",100,279,4.8,0.1,0,0,21.93,52.1,10.4,7.27,Yes,Yes,Yes,No
"Lemon grass (citronella), raw",100,99,0.5,0.1,0,0,1.82,25.31,0.0,0.0,Yes,Yes,Yes,No
"Fish, raw, Atlantic, mackerel",100,205,14.0,3.3,70,0,18.6,0.0,0.0,0.0,No,No,Yes,Yes
"Egg, raw, fresh, whole, goose",100,185,13.0,3.6,852,0,13.87,1.35,0.0,0.94,No,Yes,Yes,Yes
"Jujube, dried, fresh, Chinese",100,281,0.5,0.0,0,0,4.72,72.52,6.0,0.0,Yes,Yes,Yes,No
"Quail, raw, meat only, breast",100,123,3.0,0.9,58,0,22.59,0.0,0.0,0.0,No,No,Yes,Yes
"Blueberries, sweetened, dried",100,317,2.5,0.2,0,0,2.5,80.0,7.5,67.5,Yes,Yes,Yes,No
"Bison, raw, grass-fed, ground",100,146,7.2,2.9,55,0,20.23,0.05,0.0,0.0,Yes,Yes,Yes,Yes
"Currants, raw, european black",100,63,0.4,0.0,0,0,1.4,15.38,0.0,0.0,Yes,Yes,Yes,No
"Pineapple, all varieties, raw",100,50,0.1,0.0,0,0,0.54,13.12,1.4,9.85,Yes,Yes,Yes,No
"Fish, raw, Atlantic, wolffish",100,96,2.4,0.4,46,0,17.5,0.0,0.0,0.0,No,No,Yes,Yes
"English muffins, whole-wheat",100,203,2.1,0.3,0,0,8.8,40.4,6.7,8.09,Yes,Yes,No,No
"Apples, with skin, gala, raw",100,57,0.1,0.0,0,0,0.25,13.68,2.3,10.37,Yes,Yes,Yes,No
"Pheasant, meat and skin, raw",100,181,9.3,2.7,71,0,22.7,0.0,0.0,0.0,No,No,Yes,Yes
"Squash, raw, hubbard, winter",100,40,0.5,0.1,0,0,2.0,8.7,3.9,3.95,Yes,Yes,Yes,Yes
"Fish, raw, Atlantic, herring",100,158,9.0,2.0,60,0,17.96,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, spanish, mackerel",100,139,6.3,1.8,76,0,19.29,0.0,0.0,0.0,No,No,Yes,Yes
"Cornmeal, white, whole-grain",100,362,3.6,0.5,0,0,8.12,76.89,7.3,0.64,Yes,Yes,Yes,No
"Ground turkey, raw, fat free",100,112,2.0,0.5,55,0,23.57,0.0,0.0,0.0,No,No,Yes,Yes
"Kanpyo, (dried gourd strips)",100,258,0.6,0.0,0,0,8.58,65.03,9.8,0.0,Yes,Yes,Yes,No
"Cockles, raw (Alaska Native)",100,79,0.7,0.0,0,0,13.5,4.7,0.0,0.0,Yes,Yes,Yes,Yes
"Apples, with skin, fuji, raw",100,63,0.2,0.0,0,0,0.2,15.22,2.1,11.68,Yes,Yes,Yes,No
"Lettuce, raw, cos or romaine",100,17,0.3,0.0,0,0,1.23,3.29,2.1,1.19,Yes,Yes,Yes,Yes
"Game meat, raw, ground, deer",100,157,7.1,3.4,80,0,21.78,0.0,0.0,0.0,No,No,Yes,Yes
"Mothbeans, raw, mature seeds",100,343,1.6,0.4,0,0,22.94,61.52,0.0,0.0,Yes,Yes,Yes,No
"Beef, raw, ground, grass-fed",100,198,13.0,5.3,62,0,19.42,0.0,0.0,0.0,No,No,Yes,Yes
"Buckwheat flour, whole-groat",100,335,3.1,0.7,0,0,12.62,70.59,10.0,2.6,Yes,Yes,No,No
"Rice, raw, long-grain, brown",100,367,3.2,0.6,0,0,7.54,76.25,3.6,0.66,Yes,Yes,Yes,No
"Fish, raw, european, anchovy",100,131,4.8,1.3,60,0,20.35,0.0,0.0,0.0,No,No,Yes,Yes
"Game meat, raw, wild, rabbit",100,114,2.3,0.7,81,0,21.79,0.0,0.0,0.0,No,No,Yes,Yes
"Alfalfa seeds, raw, sprouted",100,23,0.7,0.1,0,0,3.99,2.1,1.9,0.2,Yes,Yes,Yes,Yes
"Squash, raw (Navajo), Indian",100,26,0.2,0.0,0,0,0.52,5.64,0.0,3.54,Yes,Yes,Yes,Yes
"Fish, raw, Atlantic, croaker",100,104,3.2,1.1,61,0,17.78,0.0,0.0,0.0,No,No,Yes,Yes
"Grapefruit juice, raw, white",100,39,0.1,0.0,0,0,0.5,9.2,0.1,9.1,Yes,Yes,Yes,Yes
"Fish, raw, Atlantic, pollock",100,92,1.0,0.1,71,0,19.44,0.0,0.0,0.0,No,No,Yes,Yes
"Egg, raw, fresh, whole, duck",100,185,14.0,3.7,884,0,12.81,1.45,0.0,0.93,No,No,Yes,Yes
"Crackers, whole-wheat, matzo",100,351,1.5,0.2,0,0,13.1,78.9,11.8,0.0,Yes,Yes,No,No
"Veal, raw, external fat only",100,503,52.0,19.0,86,0,8.85,0.89,0.0,0.0,No,No,Yes,Yes
"Seeds, raw, breadfruit seeds",100,191,5.6,1.5,0,0,7.4,29.24,5.2,0.0,Yes,Yes,No,No
"Peppers, raw, red, hot chili",100,40,0.4,0.0,0,0,1.87,8.81,1.5,5.3,Yes,Yes,Yes,Yes
"Squash, raw, scallop, summer",100,18,0.2,0.0,0,0,1.2,3.84,1.2,2.39,Yes,Yes,Yes,Yes
"Currants, raw, red and white",100,56,0.2,0.0,0,0,1.4,13.8,4.3,7.37,Yes,Yes,Yes,No
"Crustaceans, raw, blue, crab",100,87,1.1,0.2,78,0,18.06,0.04,0.0,0.0,Yes,Yes,Yes,Yes
"Chrysanthemum, raw, garland",100,24,0.6,0.0,0,0,3.36,3.02,3.0,0.0,Yes,Yes,Yes,Yes
"Grapefruit juice, raw, pink",100,39,0.1,0.0,0,0,0.5,9.2,0.0,0.0,Yes,Yes,Yes,Yes
"Radish seeds, raw, sprouted",100,43,2.5,0.8,0,0,3.81,3.6,0.0,0.0,Yes,Yes,Yes,Yes
"Turkey, raw, giblets, whole",100,124,5.1,1.5,333,0,18.18,0.07,0.0,0.0,No,No,Yes,Yes
"Soybeans, raw, mature seeds",100,446,20.0,2.9,0,0,36.49,30.16,9.3,7.33,Yes,Yes,Yes,No
"Radishes, raw, white icicle",100,14,0.1,0.0,0,0,1.1,2.63,1.4,0.0,Yes,Yes,Yes,Yes
"Vinespinach, raw, (basella)",100,19,0.3,0.0,0,0,1.8,3.4,0.0,0.0,Yes,Yes,Yes,Yes
"Ostrich, raw, outside strip",100,120,2.2,0.8,79,0,23.36,0.0,0.0,0.0,No,No,Yes,Yes
"Nuts, dried, black, walnuts",100,619,59.0,3.5,0,0,24.06,9.58,6.8,1.1,Yes,Yes,Yes,Yes
"Mushrooms, raw, Chanterelle",100,38,0.5,0.0,0,0,1.49,6.86,3.8,1.16,Yes,Yes,Yes,Yes
"Mollusks, raw, blue, mussel",100,86,2.2,0.4,28,0,11.9,3.69,0.0,0.0,Yes,Yes,Yes,Yes
"Fish, raw, european, turbot",100,95,3.0,0.8,48,0,16.05,0.0,0.0,0.0,No,No,Yes,Yes
"Cheese, whole milk, ricotta",100,174,13.0,8.3,51,0,11.26,3.04,0.0,0.27,No,Yes,Yes,Yes
"Cheese, queso fresco, fresh",100,299,24.0,13.0,69,0,18.09,2.98,0.0,2.32,No,Yes,Yes,Yes
"Squash, raw, baby, zucchini",100,21,0.4,0.1,0,0,2.71,3.11,1.1,0.0,Yes,Yes,Yes,Yes
"Sausage, raw, pork, Italian",100,346,31.0,11.0,76,0,14.25,0.65,0.0,0.0,No,No,Yes,Yes
"Fish, raw, freshwater, drum",100,119,4.9,1.1,64,0,17.54,0.0,0.0,0.0,No,No,Yes,Yes
"Pork, raw, salt pork, cured",100,748,81.0,29.0,86,0,5.05,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, Pacific, herring",100,195,14.0,3.3,77,0,16.39,0.0,0.0,0.0,No,No,Yes,Yes
"Peppers, raw, yellow, sweet",100,27,0.2,0.0,0,0,1.0,6.32,0.9,0.0,Yes,Yes,Yes,Yes
"Fish, raw, florida, pompano",100,164,9.5,3.5,50,0,18.48,0.0,0.0,0.0,No,No,Yes,Yes
"Game meat, raw, ground, elk",100,172,8.8,3.5,66,0,21.76,0.0,0.0,0.0,No,No,Yes,Yes
"Persimmons, dried, japanese",100,274,0.6,0.0,0,0,1.38,73.43,14.5,0.0,Yes,Yes,Yes,No
"Carambola, raw, (starfruit)",100,31,0.3,0.0,0,0,1.04,6.73,2.8,3.98,Yes,Yes,Yes,Yes
"Bockwurst, raw, veal, pork",100,301,26.0,10.0,93,0,14.03,2.95,1.0,1.33,No,No,Yes,Yes
"Guinea hen, raw, meat only",100,110,2.5,0.6,63,0,20.64,0.0,0.0,0.0,No,No,Yes,Yes
"Squash, raw, acorn, winter",100,40,0.1,0.0,0,0,0.8,10.42,1.5,0.0,Yes,Yes,Yes,No
"Peppers, raw, green, sweet",100,20,0.2,0.1,0,0,0.86,4.64,1.7,2.4,Yes,Yes,Yes,Yes
"Turkey sausage, raw, fresh",100,155,8.1,2.0,75,0,18.79,0.47,0.0,0.0,No,No,Yes,Yes
"Fish, raw, chinook, salmon",100,179,10.0,3.1,50,0,19.93,0.0,0.0,0.0,No,No,Yes,Yes
"Game meat, raw, wild, boar",100,122,3.3,1.0,0,0,21.51,0.0,0.0,0.0,No,No,Yes,Yes
"Rolls, whole-wheat, dinner",100,266,4.7,0.8,0,0,8.7,51.1,7.5,8.46,Yes,Yes,No,No
"Ostrich, raw, inside strip",100,127,2.9,0.9,73,0,23.69,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, sockeye, salmon",100,131,4.7,0.8,51,0,22.25,0.0,0.0,0.0,No,No,Yes,Yes
"Sorghum flour, whole-grain",100,359,3.3,0.5,0,0,8.43,76.64,6.6,1.94,Yes,Yes,No,No
"Java-plum, raw, (jambolan)",100,60,0.2,0.0,0,0,0.72,15.56,0.0,0.0,Yes,Yes,Yes,No
"Mushrooms, dried, shiitake",100,296,1.0,0.2,0,0,9.58,75.37,11.5,2.21,Yes,Yes,Yes,No
"Carissa, raw, (natal-plum)",100,62,1.3,0.0,0,0,0.5,13.63,0.0,0.0,Yes,Yes,Yes,No
SILK Strawberry soy yogurt,100,94,1.2,0.0,0,0,2.35,18.24,0.6,12.94,No,Yes,Yes,No
"Fish, raw, american, shad",100,197,14.0,3.1,75,0,16.93,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, rainbow, smelt",100,97,2.4,0.5,70,0,17.63,0.0,0.0,0.0,No,No,Yes,Yes
"Bagels, whole grain white",100,255,0.0,0.0,0,0,9.3,54.52,4.7,9.3,Yes,Yes,Yes,No
"Apples, without skin, raw",100,48,0.1,0.0,0,0,0.27,12.76,1.3,10.1,Yes,Yes,Yes,No
"Chrysanthemum leaves, raw",100,24,0.6,0.0,0,0,3.36,3.01,3.0,0.0,Yes,Yes,Yes,Yes
"Lentils, raw, pink or red",100,358,2.2,0.4,0,0,23.91,63.1,10.8,0.0,Yes,Yes,Yes,No
"Quail, raw, meat and skin",100,192,12.0,3.4,76,0,19.63,0.0,0.0,0.0,No,No,Yes,Yes
"Nuts, raw, macadamia nuts",100,718,76.0,12.0,0,0,7.91,13.82,8.6,4.57,Yes,Yes,Yes,No
"Ostrich, raw, outside leg",100,115,2.0,0.6,65,0,22.86,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, orange, roughy",100,76,0.7,0.0,60,0,16.41,0.0,0.0,0.0,No,No,Yes,Yes
"Lemons, without peel, raw",100,29,0.3,0.0,0,0,1.1,9.32,2.8,2.5,Yes,Yes,Yes,Yes
"Nuts, raw, pistachio nuts",100,560,45.0,5.9,0,0,20.16,27.17,10.6,7.66,Yes,Yes,Yes,No
"Mammy-apple, raw, (mamey)",100,51,0.5,0.1,0,0,0.5,12.5,3.0,0.0,Yes,Yes,Yes,No
"Mountain yam, raw, hawaii",100,67,0.1,0.0,0,0,1.34,16.3,2.5,0.31,Yes,Yes,Yes,No
"Lupins, raw, mature seeds",100,371,9.7,1.2,0,0,36.17,40.37,18.9,0.0,Yes,Yes,Yes,No
"Avocados, California, raw",100,167,15.0,2.1,0,0,1.96,8.64,6.8,0.3,Yes,Yes,Yes,Yes
"Pork, raw, backfat, fresh",100,812,89.0,32.0,57,0,2.92,0.0,0.0,0.0,No,No,Yes,Yes
"Seaweed, dried, spirulina",100,290,7.7,2.7,0,0,57.47,23.9,3.6,3.1,Yes,Yes,Yes,No
"Ostrich, raw, tip trimmed",100,114,2.3,0.9,72,0,21.85,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, northern, pike",100,88,0.7,0.1,39,0,19.26,0.0,0.0,0.0,No,No,Yes,Yes
"Jerusalem-artichokes, raw",100,73,0.0,0.0,0,0,2.0,17.44,1.6,9.6,Yes,Yes,Yes,No
"Radishes, dried, oriental",100,271,0.7,0.2,0,0,7.9,63.37,23.9,37.32,Yes,Yes,Yes,No
"Persimmons, raw, japanese",100,70,0.2,0.0,0,0,0.58,18.59,3.6,12.53,Yes,Yes,Yes,No
"Seeds, dried, lotus seeds",100,332,2.0,0.3,0,0,15.41,64.47,0.0,0.0,Yes,Yes,Yes,No
"Sweet potato leaves, raw",100,42,0.5,0.1,0,0,2.49,8.82,5.3,0.0,Yes,Yes,Yes,No
"Pheasant, meat only, raw",100,133,3.6,1.2,66,0,23.57,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, Atlantic, cod",100,82,0.7,0.1,43,0,17.81,0.0,0.0,0.0,No,No,Yes,Yes
"Pork, raw, ground, fresh",100,263,21.0,7.9,72,0,16.88,0.0,0.0,0.0,No,No,Yes,Yes
"Nuts, dried, hickorynuts",100,657,64.0,7.0,0,0,12.72,18.25,6.4,0.0,Yes,Yes,Yes,No
"Mushrooms, raw, shiitake",100,34,0.5,0.0,0,0,2.24,6.79,2.5,2.38,Yes,Yes,Yes,Yes
"Fungi, dried, Cloud ears",100,284,0.7,0.0,0,0,9.25,73.01,70.1,0.0,Yes,Yes,Yes,No
"New Zealand spinach, raw",100,14,0.2,0.0,0,0,1.5,2.5,1.5,0.29,Yes,Yes,Yes,Yes
"Lettuce, raw, green leaf",100,15,0.2,0.0,0,0,1.36,2.87,1.3,0.78,Yes,Yes,Yes,Yes
"Fish, raw, white, sucker",100,92,2.3,0.5,41,0,16.76,0.0,0.0,0.0,No,No,Yes,Yes
"Peppers, raw, red, sweet",100,31,0.3,0.0,0,0,0.99,6.03,2.1,4.2,Yes,Yes,Yes,Yes
"Ostrich, raw, inside leg",100,111,1.7,0.6,66,0,22.39,0.0,0.0,0.0,No,No,Yes,Yes
"Seeds, dried, chia seeds",100,486,31.0,3.3,0,0,16.54,42.12,34.4,0.0,Yes,Yes,Yes,No
"Corn, raw, yellow, sweet",100,86,1.4,0.3,0,0,3.27,18.7,2.0,6.26,Yes,Yes,Yes,No
"Agave, dried (Southwest)",100,341,0.7,0.0,0,0,1.71,81.98,15.6,50.7,Yes,Yes,Yes,No
"Bread, whole-wheat, pita",100,262,1.7,0.1,0,0,9.8,55.89,6.1,2.87,Yes,Yes,No,No
"Beans, raw, yellow, snap",100,31,0.1,0.0,0,0,1.82,7.13,3.4,3.27,Yes,Yes,Yes,Yes
"Ostrich, raw, tenderloin",100,123,3.2,1.2,80,0,22.07,0.0,0.0,0.0,No,No,Yes,Yes
"Peas, raw, edible-podded",100,42,0.2,0.0,0,0,2.8,7.55,2.6,4.0,Yes,Yes,Yes,Yes
"Soy flour, raw, full-fat",100,434,21.0,3.0,0,0,37.81,31.92,9.6,7.5,Yes,Yes,No,No
"Fish, raw, striped, bass",100,97,2.3,0.5,80,0,17.73,0.0,0.0,0.0,No,No,Yes,Yes
"Game meat, raw, squirrel",100,120,3.2,0.4,83,0,21.23,0.0,0.0,0.0,No,No,Yes,Yes
"Jellyfish, salted, dried",100,36,1.4,0.3,5,0,5.5,0.0,0.0,0.0,No,No,Yes,Yes
"Spices, dried, dill weed",100,253,4.4,0.2,0,0,19.96,55.82,13.6,0.0,Yes,Yes,Yes,No
"Beans, raw, in pod, fava",100,88,0.7,0.1,0,0,7.92,17.63,7.5,9.21,Yes,Yes,Yes,No
"Nuts, dried, ginkgo nuts",100,348,2.0,0.4,0,0,10.35,72.45,0.0,0.0,Yes,Yes,Yes,No
"Fish, raw, walleye, pike",100,93,1.2,0.2,86,0,19.14,0.0,0.0,0.0,No,No,Yes,Yes
"Jew's ear, raw, (pepeao)",100,25,0.0,0.0,0,0,0.48,6.75,0.0,0.0,Yes,Yes,Yes,Yes
"Cucumber, raw, with peel",100,15,0.1,0.0,0,0,0.65,3.63,0.5,1.67,Yes,Yes,Yes,Yes
"Cowpeas, raw, leafy tips",100,29,0.3,0.1,0,0,4.1,4.82,0.0,0.0,Yes,Yes,Yes,Yes
"Veal, raw, seam fat only",100,444,44.0,14.0,83,0,12.53,0.0,0.0,0.0,No,No,Yes,Yes
"Game meat, raw, antelope",100,114,2.0,0.7,95,0,22.38,0.0,0.0,0.0,No,No,Yes,Yes
"Cherries, raw, red, sour",100,50,0.3,0.1,0,0,1.0,12.18,1.6,8.49,Yes,Yes,Yes,No
"Peanuts, raw, all types",100,567,49.0,6.3,0,0,25.8,16.13,8.5,4.72,Yes,Yes,Yes,No
"Beans, raw, green, snap",100,31,0.2,0.1,0,0,1.83,6.97,2.7,3.26,Yes,Yes,Yes,Yes
"Cauliflower, raw, green",100,31,0.3,0.0,0,0,2.95,6.09,3.2,3.03,Yes,Yes,Yes,Yes
"Fish, raw, chum, salmon",100,120,3.8,0.8,74,0,20.14,0.0,0.0,0.0,No,No,Yes,Yes
"Spices, dried, marjoram",100,271,7.0,0.5,0,0,12.66,60.56,40.3,4.09,Yes,Yes,Yes,No
"Mango, sweetened, dried",100,319,1.2,0.3,0,0,2.45,78.58,2.4,66.27,Yes,Yes,Yes,No
"Peppers, raw, hungarian",100,29,0.4,0.0,0,0,0.8,6.7,1.0,3.53,Yes,Yes,Yes,Yes
"Peppers, dried, pasilla",100,345,16.0,0.0,0,0,12.35,51.13,26.8,0.0,Yes,Yes,Yes,No
"Seaweed, raw, irishmoss",100,49,0.2,0.0,0,0,1.51,12.29,1.3,0.61,Yes,Yes,Yes,No
"Game meat, raw, muskrat",100,162,8.1,0.0,0,0,20.76,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, pink, salmon",100,127,4.4,0.8,46,0,20.5,0.0,0.0,0.0,No,No,Yes,Yes
"Pork, raw, belly, fresh",100,518,53.0,19.0,72,0,9.34,0.0,0.0,0.0,No,No,Yes,Yes
"Nuts, dried, butternuts",100,612,57.0,1.3,0,0,24.9,12.05,4.7,0.0,Yes,Yes,Yes,No
"Pears, green anjou, raw",100,66,0.1,0.0,0,0,0.44,15.79,3.1,9.73,Yes,Yes,Yes,No
"Seaweed, raw, spirulina",100,26,0.4,0.1,0,0,5.92,2.42,0.4,0.3,Yes,Yes,Yes,Yes
"Soy meal, raw, defatted",100,337,2.4,0.3,0,0,49.2,35.89,0.0,0.0,Yes,Yes,Yes,No
"Milk, dried, buttermilk",100,387,5.8,3.6,69,0,34.3,49.0,0.0,49.0,No,Yes,Yes,No
"Nuts, raw, coconut meat",100,354,33.0,30.0,0,0,3.33,15.23,9.0,6.23,No,No,Yes,No
"Spices, dried, rosemary",100,331,15.0,7.4,0,0,4.88,64.06,42.6,0.0,Yes,Yes,Yes,No
"Guavas, raw, strawberry",100,69,0.6,0.2,0,0,0.58,17.36,5.4,0.0,Yes,Yes,Yes,No
"Radishes, raw, oriental",100,18,0.1,0.0,0,0,0.6,4.1,1.6,2.5,Yes,Yes,Yes,Yes
"Mushrooms, raw, maitake",100,31,0.2,0.0,0,0,1.94,6.97,2.7,2.07,Yes,Yes,Yes,Yes
"Melons, raw, cantaloupe",100,34,0.2,0.1,0,0,0.84,8.16,0.9,7.86,Yes,Yes,Yes,Yes
"Pasta, dry, whole-wheat",100,352,2.9,0.4,0,0,13.87,73.37,9.2,2.74,Yes,Yes,No,No
"Persimmons, raw, native",100,127,0.4,0.0,0,0,0.8,33.5,0.0,0.0,Yes,Yes,Yes,No
"Game meat, raw, caribou",100,127,3.4,1.3,83,0,22.63,0.0,0.0,0.0,No,No,Yes,Yes
"Oranges, with peel, raw",100,63,0.3,0.0,0,0,1.3,15.5,4.5,0.0,Yes,Yes,Yes,No
"Seeds, raw, lotus seeds",100,89,0.5,0.1,0,0,4.13,17.28,0.0,0.0,Yes,Yes,Yes,No
"Spices, dried, tarragon",100,295,7.2,1.9,0,0,22.77,50.22,7.4,0.0,Yes,Yes,Yes,No
"Apples, with skin, raw",100,52,0.2,0.0,0,0,0.26,13.81,2.4,10.39,Yes,Yes,Yes,No
"Fish, raw, ocean, pout",100,79,0.9,0.3,52,0,16.64,0.0,0.0,0.0,No,No,Yes,Yes
"Spices, dried, chervil",100,237,3.9,0.2,0,0,23.2,49.1,11.3,0.0,Yes,Yes,Yes,No
"Spices, dried, parsley",100,292,5.5,1.4,0,0,26.63,50.64,26.7,7.27,Yes,Yes,Yes,No
"Egg, fresh, raw, white",100,52,0.2,0.0,0,0,10.9,0.73,0.0,0.71,No,Yes,Yes,Yes
"Egg, fresh, raw, whole",100,143,9.5,3.1,372,0,12.56,0.72,0.0,0.37,No,Yes,Yes,Yes
"Mushrooms, raw, oyster",100,33,0.4,0.1,0,0,3.31,6.09,2.3,1.11,Yes,Yes,Yes,Yes
"Ice creams, strawberry",100,192,8.4,5.2,29,0,3.2,27.6,0.9,0.0,Yes,Yes,Yes,No
"Lettuce, raw, red leaf",100,16,0.2,0.0,0,0,1.33,2.26,0.9,0.48,Yes,Yes,Yes,Yes
"Game meat, raw, beaver",100,146,4.8,0.0,0,0,24.05,0.0,0.0,0.0,No,No,Yes,Yes
"Butterbur, raw, (fuki)",100,14,0.0,0.0,0,0,0.39,3.61,0.0,0.0,Yes,Yes,Yes,Yes
"Avocados, Florida, raw",100,120,10.0,2.0,0,0,2.23,7.82,5.6,2.42,Yes,Yes,Yes,Yes
"Peanuts, raw, virginia",100,563,49.0,6.4,0,0,25.19,16.54,8.5,3.95,Yes,Yes,Yes,No
"Peanuts, raw, valencia",100,570,48.0,7.3,0,0,25.09,20.91,8.7,0.0,Yes,Yes,Yes,No
"Nuts, raw, cashew nuts",100,553,44.0,7.8,0,0,18.22,30.19,3.3,5.91,Yes,Yes,Yes,No
"Shallots, freeze-dried",100,348,0.5,0.1,0,0,12.3,80.7,15.7,38.16,Yes,Yes,Yes,No
"Beans, raw, mature seeds, pinto",100,347,1.2,0.2,0,0,21.42,62.55,15.5,2.11,Yes,Yes,Yes,No
"Yogurt, whole milk, fruit, Greek",100,106,3.0,1.6,10,0,7.33,12.29,0.0,12.0,No,Yes,Yes,No
"Hyacinth beans, raw, mature seeds",100,344,1.7,0.3,0,0,23.9,60.74,25.6,0.0,Yes,Yes,Yes,No
